sigma	C	AUC
1e-5	0.01	0.8243333333333334
1e-6	1e-4	0.8713333333333333
1e-6	0.001	0.8633333333333333
1e-6	0.01	0.8506666666666667
1e-5	1e-4	0.8851666666666667
1e-5	0.001	0.8485
1e-5	0.01	0.8176666666666667
1e-6	1e-4	0.829
1e-6	0.001	0.829
1e-6	0.01	0.7963333333333333
1e-5	1e-4	0.8235
1e-5	0.001	0.8195
1e-5	0.01	0.8161666666666667
1e-6	1e-4	0.8501666666666666
1e-6	0.001	0.8461666666666666
1e-6	0.01	0.8381666666666666
1e-5	1e-4	0.8505
1e-5	0.001	0.8415
1e-5	0.01	0.8358333333333333
1e-6	1e-4	0.9238333333333333
1e-6	0.001	0.9238333333333333
1e-6	0.01	0.9098333333333334
1e-5	1e-4	0.9346666666666666
1e-5	0.001	0.9266666666666666
1e-5	0.01	0.9173333333333333
1e-6	1e-4	0.9053333333333333
1e-6	0.001	0.9033333333333333
1e-6	0.01	0.8913333333333333
1e-5	1e-4	0.9041666666666667
1e-5	0.001	0.8961666666666667
1e-5	0.01	0.8895
1e-6	1e-4	0.91
1e-6	0.001	0.904
1e-6	0.01	0.9
1e-5	1e-4	0.9161666666666667
1e-5	0.001	0.9121666666666667
1e-5	0.01	0.9031666666666667
1e-6	1e-4	0.8714999999999999
1e-6	0.001	0.8655
1e-6	0.01	0.8435
1e-5	1e-4	0.8835
1e-5	0.001	0.8755
1e-5	0.01	0.8591666666666666
1e-6	1e-4	0.9568333333333333
1e-6	0.001	0.9568333333333333
1e-6	0.01	0.9548333333333333
1e-5	1e-4	0.9631666666666666
1e-5	0.001	0.9631666666666666
1e-5	0.01	0.9601666666666666
1e-6	1e-4	0.9203333333333333
1e-6	0.001	0.9203333333333333
1e-6	0.01	0.9083333333333333
1e-5	1e-4	0.9386666666666666
1e-5	0.001	0.9286666666666666
1e-5	0.01	0.9275
1e-6	1e-4	0.8836666666666667
1e-6	0.001	0.8816666666666667
1e-6	0.01	0.8716666666666667
1e-5	1e-4	0.8995
1e-5	0.001	0.8721666666666666
1e-5	0.01	0.8765
1e-6	1e-4	0.8368333333333333
1e-6	0.001	0.8328333333333333
1e-6	0.01	0.8148333333333333
1e-5	1e-4	0.831
1e-5	0.001	0.803
1e-5	0.01	0.823
1e-6	1e-4	0.8683333333333333
1e-6	0.001	0.8683333333333333
1e-6	0.01	0.8483333333333333
1e-5	1e-4	0.872
1e-5	0.001	0.853
1e-5	0.01	0.8408333333333333
1e-6	1e-4	0.9171666666666667
1e-6	0.001	0.9171666666666667
1e-6	0.01	0.9051666666666667
1e-5	1e-4	0.9173333333333333
1e-5	0.001	0.9073333333333333
1e-5	0.01	0.9153333333333333
1e-6	1e-4	0.8445
1e-6	0.001	0.8425
1e-6	0.01	0.8185
1e-5	1e-4	0.8323333333333334
1e-5	0.001	0.8123333333333334
1e-5	0.01	0.8388333333333333
1e-6	1e-4	0.9175
1e-6	0.001	0.9115
1e-6	0.01	0.8835
1e-5	1e-4	0.9176666666666666
1e-5	0.001	0.8996666666666666
1e-5	0.01	0.8593333333333333
1e-6	1e-4	0.901
1e-6	0.001	0.901
1e-6	0.01	0.897
1e-5	1e-4	0.8978333333333334
1e-5	0.001	0.8905
1e-5	0.01	0.9013333333333333
1e-6	1e-4	0.8843333333333333
1e-6	0.001	0.8783333333333333
1e-6	0.01	0.8443333333333334
1e-5	1e-4	0.8986666666666666
1e-5	0.001	0.8673333333333333
1e-5	0.01	0.8608333333333333
1e-6	1e-4	0.9153333333333333
1e-6	0.001	0.9153333333333333
1e-6	0.01	0.9033333333333333
1e-5	1e-4	0.9133333333333333
1e-5	0.001	0.9073333333333333
1e-5	0.01	0.8923333333333333
1e-6	1e-4	0.9018333333333334
1e-6	0.001	0.8958333333333334
1e-6	0.01	0.8498333333333333
1e-5	1e-4	0.9073333333333333
1e-5	0.001	0.874
1e-5	0.01	0.8723333333333333
1e-6	1e-4	0.9035
